ussak	7.97	12.99	22	31	34.99	43.99	53		
beyati	8	13	22	31	35	44	53		
huseyni	7.97	12.99	22	31	38.97	43.99	53		
neva	8	13	22	31	39	44	53		
kurdi	4	13	22	31	35	44	53		
hicaz	5.02	16.98	22	31	34.99	38.97	43.99	53	
nisaburek	9	17	22	31	40	44	53		
buselik	9	13	22	31	35	44	53		
acem	8	13	22	31	35	44	53		
saba	7.97	12.99	18.01	31	34.99	43.99	49.02	61	
kurdilihicazkar	3.99	12.99	22	31	34.99	43.99	53		
ferahfeza	4	13	22	31	35	44	53		
bestenigar	5	14	22	27	32	45	53		
evic	5	14	22	31	36	49	53		
irak	5	14	22	27	36	45	53		
segah	5.02	14.03	22	31	36.02	45.03	49.02	53	
ferahnak	5	14	23	31	36	45	53		
huzzam	5.02	14.03	19.05	31	36.02	49.02	53		
sehnaz	5	17	22	31	36	48	53		
hicazkar	5	17	22	31	36	48	53		
sedaraban	5	17	22	31	36	48	53		
neveser	5	17	22	27	39	44	53		
sultaniyegah	9	13	22	31	36	48	53		
suzidil	5	18	22	31	36	48	53		
gulizar	8	13	22	31	39	44	53		
tahirbuselik	8	13	22	31	39	44	53		
tahir	8	13	22	31	39	44	53		
muhayyer	8	13	22	31	39	44	53		
isfahan	8	13	22	31	35	44	53		
nuhuft	8	13	22	30	35	44	53		
beyatiaraban	8	13	22	27	39	44	53		
sevkefza	9	18	22	26	31	36	40	48	53
nihavend	9.01	12.99	22	31	34.99	43.99	53		
mustear	9	14	22	31	36	49	53		
rast	9.01	16.98	22	31	40.01	47.98	53		
pesendide	9	17	22	31	40	48	53		
suzinak	9	17	22	31	36	48	53		
yegah	9	17	22	31	39	44	53		
acemasiran	9	18	22	31	40	49	53		
mahur	9	18	22	31	40	49	53		
nikriz	9	14	26	31	40	44	48	53	
evcara	5	17	22	31	36	48	53		
karcigar	8	13	22	27	39	44	53		
