FileName	Makam Calc	Tonic Calc	Tonic Annot	Makam Annot	Result	Ratio
16_makamda_ud_taksimleri/14_acemasiran.mp3	Acemasiran	183.40323	183	makam: Acemasiran	TRUE	1.0022035
40Makam40Anlam_1/1-01_ney_taksimi___acemasiran_makaminda__.mp3	Acemasiran	371.9675	439.6	makam: Acemasiran	FALSE	
ergin_kizilay__ud_taksimleri/02_02-acemasiran.mp3	Acemasiran	147.4755	174	makam: Acemasiran	FALSE	
gazeller__vol_1/11_SeniKimGorse_K.mp3	Acemasiran	199.91985	310	makam: Acemasiran	FALSE	
MastersOfTurkishMusicNey2/13_ACEMASIRANTAKSIM_Ney.mp3	Acemasiran	510.22025	393.1	makam: Acemasiran	FALSE	
MeralUgurlu_TrtArsivSerisi2/22-acemasiran_kanun_taksimi-erolderan.mp3	Acemasiran	247.91245	391.4	makam: Acemasiran	FALSE	
NeyzenTevfik__hic/15_acemasiran_taksim.mp3	Acemasiran	430.152	341.9	makam: Acemasiran	FALSE	
TurkMuzigiUstalari_kemence2/10_AcemasiranTaksim_Kemence.mp3	Acemasiran	289.92184	230.8	makam: Acemasiran	FALSE	
ihsan_ozgen__anatolia__meragi_itri/04_-_kemence_taksimi.mp3	Bestenigar	237.76428	237.8	makam: Bestenigar	TRUE	0.9998498
kudsi_erguner_ensemble__saz_eserleri/15_bestenigar_kanun_taksim.mp3	Bestenigar	182.35884	183	makam: Bestenigar	TRUE	0.9964964
MuratAydemir_MakamGuide2/2-51_bestenigar_taksim.mp3	Bestenigar	137.22809	276.8	makam: Bestenigar	TRUE	0.99153244
necdet_yasar_2/2-07_bestenigar.mp3	Bestenigar	141.6778	284.1	makam: Bestenigar	TRUE	0.9973797
NeyzenTevfik__hic/7_bestenigar_taksim.mp3	Bestenigar	355.914	355.9	makam: Bestenigar	TRUE	1.0000393
niyazi_sayin__sada/08_-_bestenigar_taksimi.mp3	Bestenigar	562.006	354	makam: Bestenigar	FALSE	
tanburi_cemil_bey__vol_4/06_-_bestenigar_taksim__yayli_tanbur_.mp3	Bestenigar	173.7769	175	makam: Bestenigar	TRUE	0.9930109
TurkMuzigiUstalari_kemence1/06_BestenigarTaksim_Kemence.mp3	Bestenigar	377.0284	190	makam: Bestenigar	TRUE	0.99218005
ask_1/1-12_bayati_taksim.mp3	Beyati	254.08623	253	makam: Beyati	TRUE	1.0042934
izak_algazi_efendi/04_bayati_gazel_[improvisation].mp3	Beyati	219.30814	322.1	makam: Beyati	FALSE	
turk_tasavvuf_muzigi/22_tanbur_taksimi.mp3	Beyati	146.83719	147.3	makam: Beyati	TRUE	0.996858
14_makamda_keman_taksimi/11_beyatiaraban_taksim.mp3	Beyatiaraban	248.578	249	makam: Beyatiaraban	TRUE	0.99830526
14_makamda_keman_taksimi/10_ferahfeza_taksim.mp3	Ferahfeza	330.62057	219	makam: Ferahfeza	FALSE	
ask_1/1-02_ferahfeza_bas_taksim__ayinden_.mp3	Ferahfeza	249.3078	331	makam: Ferahfeza	FALSE	
ask_2/2-18_ferahfeza_son_taksim__ayinden_.mp3	Ferahfeza	501.03424	326	makam: Ferahfeza	FALSE	
dede_efendi__mevlevi_sesler__1_ferahfeza/1_01_ney_taksimi.mp3	Ferahfeza	338.26	447	makam: Ferahfeza	FALSE	
12MakamdaYayli_tanbur_taksimleri/01_hicaz.mp3	Hicaz	224.7794	223	makam: Hicaz	TRUE	1.0079794
14_makamda_keman_taksimi/01_hicaz_taksim.mp3	Hicaz	220.69165	220	makam: Hicaz	TRUE	1.0031439
16_makamda_ud_taksimleri/04_hicaz.mp3	Hicaz	123.465454	248	makam: Hicaz	TRUE	0.99568915
ask_2/2-04_hicaz_taksim.mp3	Hicaz	227.02722	225	makam: Hicaz	TRUE	1.0090098
bekir_sidki_sezgin__klasikler_2/06_ihsan_ozgen-_hicaz_kemence_taksimi.mp3	Hicaz	295.25336	590	makam: Hicaz	TRUE	1.0008588
bekir_sidki_sezgin__turk_din_musikisi/3-01_hicaz_mk._ikindi_ezani.mp3	Hicaz	225.56717	227	makam: Hicaz	TRUE	0.993688
